epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,epoch_time_sec,regime
1,1.5734271786429666,0.33085714285714285,0.32769056699574617,1.3544151683648427,0.416,0.3597336356294336,83.372802734375,scratch
2,1.3989079453728415,0.40114285714285713,0.3944515788052174,1.333874334891637,0.49333333333333335,0.4115997917812921,83.18796420097351,scratch
3,1.383482269265435,0.408,0.39973354633666575,1.3471232255299885,0.504,0.4341232045927558,83.98319268226624,scratch
4,1.3178829496557063,0.4514285714285714,0.43706003237895885,1.433014805118243,0.4613333333333333,0.4012086195501972,84.3391261100769,scratch
5,1.3047186867757277,0.44057142857142856,0.425108937423665,1.200571484863758,0.488,0.4484571127524399,84.44665312767029,scratch
6,1.3021330437876961,0.45085714285714285,0.4441163662029307,1.1808596663177013,0.512,0.4720323157993668,83.55396485328674,scratch
7,1.2854820164767178,0.48,0.4740866997040302,1.1053868979215622,0.5706666666666667,0.5541986781315601,83.47631597518921,scratch
8,1.2581640882925553,0.47314285714285714,0.45949430718997364,1.211301955084006,0.5386666666666666,0.5177657391198308,83.24482011795044,scratch
9,1.274037328633395,0.448,0.43817172772448687,1.088566320637862,0.5013333333333333,0.44035132847650094,83.89896130561829,scratch
10,1.247566507621245,0.48342857142857143,0.46587341952056577,1.1985875107347965,0.5066666666666667,0.4918356643356644,83.99368810653687,scratch
1,1.292335962707346,0.4674285714285714,0.4645322178596266,0.8302681831022104,0.7333333333333333,0.7219453894835898,53.58321976661682,feature_extraction
2,1.0081607162952424,0.6205714285714286,0.6180732604917489,0.7621557665988803,0.6853333333333333,0.6541434472044274,54.75697612762451,feature_extraction
3,0.9247532080520283,0.6445714285714286,0.6419477834897109,0.6564554090922078,0.776,0.76367517782243,54.0217649936676,feature_extraction
4,0.8412603725086559,0.6754285714285714,0.6743172496659515,0.5606920514255762,0.816,0.8125896280577359,53.520066022872925,feature_extraction
5,0.8617090604522012,0.6674285714285715,0.6667260930740728,0.5319303643579284,0.8,0.7953335238309048,53.479373931884766,feature_extraction
6,0.842787887562405,0.6691428571428572,0.6685726723804535,0.48452407742540043,0.8266666666666667,0.8224382548453002,53.528953075408936,feature_extraction
7,0.8312201220880855,0.6777142857142857,0.6774237629638956,0.49556462637459237,0.8213333333333334,0.8173594613009975,53.80414414405823,feature_extraction
8,0.8348226165229624,0.6845714285714286,0.683418700589885,0.5503768413327634,0.792,0.7901379350890221,51.92558693885803,feature_extraction
9,0.8456532711332495,0.6622857142857143,0.6618203142092494,0.4816401214338839,0.8053333333333333,0.802546768707483,51.09127402305603,feature_extraction
1,0.9432974663647739,0.6217142857142857,0.6173341144839652,0.4123104919369022,0.856,0.8548793585434108,56.51233220100403,partial_finetune
2,0.7161238838325847,0.7211428571428572,0.7213497589045981,0.3979932699973385,0.8666666666666667,0.8649804380471103,56.044463872909546,partial_finetune
3,0.6497904128649018,0.7428571428571429,0.7423437824944876,0.36844535323325545,0.864,0.8612460751648774,56.029217004776,partial_finetune
4,0.549682402881709,0.7988571428571428,0.798198202260447,0.36244209797587246,0.8666666666666667,0.8638673055339723,56.18169689178467,partial_finetune
5,0.5342214814641258,0.8028571428571428,0.802800977392289,0.3706707471671204,0.8666666666666667,0.8654195202587103,57.29652714729309,partial_finetune
1,1.0217894865707917,0.604,0.5956507931296521,0.4694901274827619,0.824,0.8205499589685749,85.0467689037323,full_finetune
2,0.7148902413519946,0.7394285714285714,0.7393265039630762,0.3965727125760168,0.872,0.8701086961770337,82.6851761341095,full_finetune
3,0.6002366729758003,0.7788571428571428,0.7783671976995542,0.31517299823462963,0.9013333333333333,0.8990242087815993,82.69580698013306,full_finetune
4,0.5047623586248268,0.8074285714285714,0.8073495912602044,0.28706399353298667,0.8933333333333333,0.892511019674051,85.12225794792175,full_finetune
5,0.47592804662205956,0.8274285714285714,0.8272214338563055,0.3190824475605041,0.8906666666666667,0.890395936487093,85.09788799285889,full_finetune
6,0.44262548034841365,0.8377142857142857,0.8375688493528347,0.26470834606637555,0.9146666666666666,0.914455820914136,84.51859211921692,full_finetune
7,0.4322511534799229,0.8422857142857143,0.8423832759177436,0.2529890324221924,0.9226666666666666,0.9218874488406874,86.34326791763306,full_finetune
8,0.4136782811446623,0.844,0.8440778411696467,0.2596089910948649,0.912,0.9109675898331361,84.11022210121155,full_finetune
9,0.3928584615615281,0.8582857142857143,0.8582504317327893,0.26053150731604546,0.9066666666666666,0.905837083476864,84.1534149646759,full_finetune
10,0.373308092829856,0.868,0.867429978336115,0.22032174995789924,0.92,0.9192102874082657,84.55714106559753,full_finetune
