regime,seed,best_val_acc,best_val_f1,test_acc,test_f1,total_params,trainable_params,trainable_param_ratio,trainable_param_pct,total_train_time_sec,epochs_ran,final_lr
scratch,42,0.5706666666666667,0.5541986781315601,0.528,0.5155019675108465,11179077,11179077,1.0,100.0,837.5209441184998,10,0.001
feature_extraction,42,0.8266666666666667,0.8224382548453002,0.784,0.7783820773096721,11179077,2565,0.0002294464918704827,0.02294464918704827,479.7280447483063,9,0.001
partial_finetune,42,0.8666666666666667,0.8654195202587103,0.8266666666666667,0.8230235122479608,11179077,8396293,0.7510721144509516,75.10721144509516,282.07441091537476,5,0.0001
full_finetune,42,0.9226666666666666,0.9218874488406874,0.9173333333333333,0.9155358712918489,11179077,11179077,1.0,100.0,844.3531789779663,10,5e-05
