epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,epoch_time_sec,regime
1,1.0217894865707917,0.604,0.5956507931296521,0.4694901274827619,0.824,0.8205499589685749,85.0467689037323,full_finetune
2,0.7148902413519946,0.7394285714285714,0.7393265039630762,0.3965727125760168,0.872,0.8701086961770337,82.6851761341095,full_finetune
3,0.6002366729758003,0.7788571428571428,0.7783671976995542,0.31517299823462963,0.9013333333333333,0.8990242087815993,82.69580698013306,full_finetune
4,0.5047623586248268,0.8074285714285714,0.8073495912602044,0.28706399353298667,0.8933333333333333,0.892511019674051,85.12225794792175,full_finetune
5,0.47592804662205956,0.8274285714285714,0.8272214338563055,0.3190824475605041,0.8906666666666667,0.890395936487093,85.09788799285889,full_finetune
6,0.44262548034841365,0.8377142857142857,0.8375688493528347,0.26470834606637555,0.9146666666666666,0.914455820914136,84.51859211921692,full_finetune
7,0.4322511534799229,0.8422857142857143,0.8423832759177436,0.2529890324221924,0.9226666666666666,0.9218874488406874,86.34326791763306,full_finetune
8,0.4136782811446623,0.844,0.8440778411696467,0.2596089910948649,0.912,0.9109675898331361,84.11022210121155,full_finetune
9,0.3928584615615281,0.8582857142857143,0.8582504317327893,0.26053150731604546,0.9066666666666666,0.905837083476864,84.1534149646759,full_finetune
10,0.373308092829856,0.868,0.867429978336115,0.22032174995789924,0.92,0.9192102874082657,84.55714106559753,full_finetune
