epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,epoch_time_sec,regime
1,0.9432974663647739,0.6217142857142857,0.6173341144839652,0.4123104919369022,0.856,0.8548793585434108,56.51233220100403,partial_finetune
2,0.7161238838325847,0.7211428571428572,0.7213497589045981,0.3979932699973385,0.8666666666666667,0.8649804380471103,56.044463872909546,partial_finetune
3,0.6497904128649018,0.7428571428571429,0.7423437824944876,0.36844535323325545,0.864,0.8612460751648774,56.029217004776,partial_finetune
4,0.549682402881709,0.7988571428571428,0.798198202260447,0.36244209797587246,0.8666666666666667,0.8638673055339723,56.18169689178467,partial_finetune
5,0.5342214814641258,0.8028571428571428,0.802800977392289,0.3706707471671204,0.8666666666666667,0.8654195202587103,57.29652714729309,partial_finetune
