epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,epoch_time_sec,regime
1,1.5734271786429666,0.33085714285714285,0.32769056699574617,1.3544151683648427,0.416,0.3597336356294336,83.372802734375,scratch
2,1.3989079453728415,0.40114285714285713,0.3944515788052174,1.333874334891637,0.49333333333333335,0.4115997917812921,83.18796420097351,scratch
3,1.383482269265435,0.408,0.39973354633666575,1.3471232255299885,0.504,0.4341232045927558,83.98319268226624,scratch
4,1.3178829496557063,0.4514285714285714,0.43706003237895885,1.433014805118243,0.4613333333333333,0.4012086195501972,84.3391261100769,scratch
5,1.3047186867757277,0.44057142857142856,0.425108937423665,1.200571484863758,0.488,0.4484571127524399,84.44665312767029,scratch
6,1.3021330437876961,0.45085714285714285,0.4441163662029307,1.1808596663177013,0.512,0.4720323157993668,83.55396485328674,scratch
7,1.2854820164767178,0.48,0.4740866997040302,1.1053868979215622,0.5706666666666667,0.5541986781315601,83.47631597518921,scratch
8,1.2581640882925553,0.47314285714285714,0.45949430718997364,1.211301955084006,0.5386666666666666,0.5177657391198308,83.24482011795044,scratch
9,1.274037328633395,0.448,0.43817172772448687,1.088566320637862,0.5013333333333333,0.44035132847650094,83.89896130561829,scratch
10,1.247566507621245,0.48342857142857143,0.46587341952056577,1.1985875107347965,0.5066666666666667,0.4918356643356644,83.99368810653687,scratch
